57_Male_Rep_2	SAMN09738838
584_Female_Rep_1	SAMN09738837
584_Female_Rep_2	SAMN09738836
513_Female_Rep_1	SAMN09738835
513_Female_Rep_2	SAMN09738834
513_Male_Rep_1	SAMN09738833
513_Male_Rep_2	SAMN09738832
517_Female_Rep_1	SAMN09738831
517_Female_Rep_2	SAMN09738830
517_Male_Rep_1	SAMN09738829
517_Male_Rep_2	SAMN09738828
528_Female_Rep_1	SAMN09738827
528_Female_Rep_2	SAMN09738826
528_Male_Rep_1	SAMN09738825
528_Male_Rep_2	SAMN09738824
530_Female_Rep_1	SAMN09738823
530_Female_Rep_2	SAMN09738822
530_Male_Rep_1	SAMN09738821
530_Male_Rep_2	SAMN09738820
531_Female_Rep_1	SAMN09738819
531_Female_Rep_2	SAMN09738818
531_Male_Rep_1	SAMN09738817
531_Male_Rep_2	SAMN09738816
502_Female_Rep_1	SAMN09738807
502_Female_Rep_2	SAMN09738806
502_Male_Rep_1	SAMN09738805
502_Male_Rep_2	SAMN09738804
505_Female_Rep_1	SAMN09738803
505_Female_Rep_2	SAMN09738802
505_Male_Rep_1	SAMN09738801
505_Male_Rep_2	SAMN09738800
508_Female_Rep_1	SAMN09738799
508_Female_Rep_2	SAMN09738798
508_Male_Rep_1	SAMN09738797
508_Male_Rep_2	SAMN09738796
509_Female_Rep_1	SAMN09738795
509_Female_Rep_2	SAMN09738794
509_Male_Rep_1	SAMN09738793
509_Male_Rep_2	SAMN09738792
443_Female_Rep_1	SAMN09738766
443_Female_Rep_2	SAMN09738765
443_Male_Rep_1	SAMN09738764
443_Male_Rep_2	SAMN09738763
45_Female_Rep_1	SAMN09738762
45_Female_Rep_2	SAMN09738761
45_Male_Rep_1	SAMN09738760
45_Male_Rep_2	SAMN09738759
461_Female_Rep_1	SAMN09738758
461_Female_Rep_2	SAMN09738757
486_Female_Rep_1	SAMN09738756
177_Female_Rep_2	SAMN09738755
177_Male_Rep_1	SAMN09738754
177_Male_Rep_2	SAMN09738753
181_Female_Rep_1	SAMN09738752
181_Female_Rep_2	SAMN09738751
181_Male_Rep_1	SAMN09738750
427_Female_Rep_2	SAMN09738749
427_Male_Rep_1	SAMN09738748
427_Male_Rep_2	SAMN09738747
437_Female_Rep_1	SAMN09738746
437_Female_Rep_2	SAMN09738745
437_Male_Rep_1	SAMN09738744
437_Male_Rep_2	SAMN09738743
439_Female_Rep_1	SAMN09738742
439_Female_Rep_2	SAMN09738741
439_Male_Rep_1	SAMN09738740
439_Male_Rep_2	SAMN09738739
440_Female_Rep_1	SAMN09738738
440_Female_Rep_2	SAMN09738737
440_Male_Rep_1	SAMN09738736
440_Male_Rep_2	SAMN09738735
441_Female_Rep_1	SAMN09738734
441_Female_Rep_2	SAMN09738733
441_Male_Rep_1	SAMN09738732
441_Male_Rep_2	SAMN09738731
142_Female_Rep_1	SAMN09738730
142_Female_Rep_2	SAMN09738729
142_Male_Rep_1	SAMN09738728
142_Male_Rep_2	SAMN09738727
149_Female_Rep_1	SAMN09738726
149_Female_Rep_2	SAMN09738725
149_Male_Rep_1	SAMN09738724
149_Male_Rep_2	SAMN09738723
